category,key,response
business,what is accord ai,Accord AI is a multilingual AI assistant that helps users communicate in multiple Indian languages plus English.
business,our mission,Our mission is to break language barriers and make AI accessible to everyone in their native language.
business,founded when,Accord AI was founded in 2024 with a vision to create inclusive AI experiences.
product,how it works,I analyze your message in any supported language and provide relevant responses from my knowledge base or AI models.
product,languages supported,I support Hindi Urdu Punjabi Bengali Tamil Telugu Gujarati Marathi Kannada Malayalam and English.
product,file support,You can upload PDF Word documents and images. I'll extract text and provide analysis.
faq,is it secure,Yes your conversations are secure and we follow strict privacy guidelines to protect your data.
faq,cost,We offer free tier with limited messages and premium plans for unlimited access.
faq,mobile app,Currently available as web application. Mobile app coming soon.
support,technical issue,For technical issues please check your internet connection and refresh the page. Contact support if problem persists.
support,feedback,We value your feedback! Please share your suggestions to help us improve the service.
support,report bug,To report a bug please describe the issue and steps to reproduce it. We'll fix it promptly.
